Batch 1	Batch 2	Batch 3	Batch 4	Batch 5	Batch 6	Batch 7	Batch 8	Batch 9	Batch 10
9.7	10.0	8.7	9.1	10.3	10.1	10.1	7.3	10.7	8.4
9.9	11.0	11.3	11.4	11.7	10.5	10.2	11.3	10.3	10.6
10.2	12.3	12.0	12.6	12.4	9.8	8.7	8.3	9.0	11.8
10.0	7.9	10.7	11.2	11.2	10.8	10.9	12.8	9.2	8.7
9.0	9.8	11.0	12.3	10.7	10.9	7.3	12.1	8.7	9.2
10.7	10.7	9.9	11.7	12.3	12.7	11.0	9.8	10.3	10.0
10.5	9.6	10.0	12.8	9.3	8.7	10.4	10.3	11.3	9.2
12.8	12.7	11.3	11.3	11.0	12.3	10.8	12.9	13.0	7.8
9.9	11.3	12.3	10.7	12.1	13.2	10.3	10.4	9.8	10.7
10.0	11.0	11.7	9.3	8.7	12.2	11.3	10.7	10.5	9.8
